Volume,EMA,RSI,MACD,Bollinger,ADX,Stochastic K,AI,Risk,Profit,Price Jump,Date,Golden Cross
False,True,False,False,True,True,False,True,True,True,True,2024-05-30 07:23:35,
False,True,False,False,True,True,False,True,True,True,True,2024-05-30 09:23:38,
False,True,False,False,True,True,False,True,True,True,True,2024-05-30 11:23:39,
True,True,False,True,True,True,False,True,True,True,True,2024-05-31 07:24:19,
True,True,False,True,True,True,False,True,True,True,True,2024-05-31 09:24:20,
True,True,False,True,True,True,False,True,True,True,True,2024-05-31 11:24:21,
False,True,False,True,True,True,False,True,True,True,True,2024-06-03 07:26:11,
False,True,False,True,True,True,False,True,True,True,True,2024-06-03 09:26:13,
False,True,False,True,True,True,False,True,True,True,True,2024-06-03 11:26:14,
False,True,False,True,True,True,False,True,True,True,True,2024-06-04 07:26:58,
False,True,False,True,True,True,False,True,True,True,True,2024-06-04 09:26:59,
False,True,False,True,True,True,False,True,True,True,True,2024-06-04 11:27:02,
False,True,False,True,True,True,False,True,True,True,True,2024-06-05 07:27:40,
False,True,False,True,True,True,False,True,True,True,True,2024-06-05 09:27:41,
False,True,False,True,True,True,False,True,True,True,True,2024-06-05 11:27:43,
False,True,False,False,True,True,False,True,True,True,True,2024-06-06 07:28:25,
False,True,False,False,True,True,False,True,True,True,True,2024-06-06 09:28:27,
False,True,False,False,True,True,False,True,True,True,True,2024-06-06 11:28:28,
False,True,False,False,True,True,False,True,True,True,True,2024-06-07 07:29:12,
False,True,False,False,True,True,False,True,True,True,True,2024-06-07 09:29:14,
False,True,False,False,True,True,False,True,True,True,True,2024-06-07 11:29:16,
False,True,False,True,True,True,False,True,True,True,True,2024-06-10 06:31:28,
False,True,False,True,True,True,False,True,True,True,True,2024-06-10 08:31:29,
False,True,False,True,True,True,False,True,True,True,True,2024-06-10 10:31:31,
False,True,False,True,True,True,False,True,True,True,True,2024-06-10 12:31:33,
False,True,False,False,True,True,False,True,True,True,True,2024-06-11 06:32:16,
False,True,False,False,True,True,False,True,True,True,True,2024-06-11 08:32:18,
